index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento
151;21,76000023;159,3200073;07/01/2019 07:00;1,1701951;-0,4986084;1,271993282
152;21,76000023;159,3200073;07/01/2019 08:00;1,1085696;-0,8652471;1,406264236
153;21,76000023;159,3200073;07/01/2019 09:00;0,954237;-1,137412;1,484679868
154;21,76000023;159,3200073;07/01/2019 10:00;1,1246457;-0,70243055;1,325985154
155;21,76000023;159,3200073;07/01/2019 11:00;1,1391144;-0,6570027;1,315003484
156;21,76000023;159,3200073;07/01/2019 12:00;1,6567717;-1,6330978;2,326349262
157;21,76000023;159,3200073;07/01/2019 13:00;1,7778797;-2,3695912;2,962400831
158;21,76000023;159,3200073;07/01/2019 14:00;1,6353364;-2,5826597;3,056870339
159;21,76000023;159,3200073;07/01/2019 15:00;1,284337;-2,4202452;2,739910283
160;21,76000023;159,3200073;07/01/2019 16:00;1,0603404;-2,392908;2,617313596
161;21,76000023;159,3200073;07/01/2019 17:00;0,69701576;-2,062451;2,177047335
162;21,76000023;159,3200073;07/01/2019 18:00;0,3304758;-1,6523945;1,685117752
163;21,76000023;159,3200073;07/01/2019 19:00;0,038958788;-1,488774;1,489283657
164;21,76000023;159,3200073;07/01/2019 20:00;-0,4653015;-1,6013385;1,667570232
165;21,76000023;159,3200073;07/01/2019 21:00;-0,95080614;-1,5084728;1,783121562
166;21,76000023;159,3200073;07/01/2019 22:00;-0,53603745;-0,4459443;0,6972822
167;21,76000023;159,3200073;07/01/2019 23:00;-1,0402977;-0,9565047;1,413195155
168;21,76000023;159,3200073;08/01/2019 00:00;-1,5091901;-1,4743013;2,109791241
169;21,76000023;159,3200073;08/01/2019 01:00;-1,801779;-1,7625469;2,520511682
170;21,76000023;159,3200073;08/01/2019 02:00;-2,0204167;-2,1219492;2,929974752
171;21,76000023;159,3200073;08/01/2019 03:00;-2,232624;-2,1183312;3,077651215
172;21,76000023;159,3200073;08/01/2019 04:00;-2,5895183;-1,6435502;3,067060855
173;21,76000023;159,3200073;08/01/2019 05:00;-2,764214;-1,2921882;3,051332395
174;21,76000023;159,3200073;08/01/2019 06:00;-2,93891;-0,95771074;3,091019549
175;21,76000023;159,3200073;08/01/2019 07:00;-3,0460856;-0,50262856;3,087275976
176;21,76000023;159,3200073;08/01/2019 08:00;-3,1178932;-0,3703653;3,139813444
177;21,76000023;159,3200073;08/01/2019 09:00;-3,2770486;-0,19749838;3,282994538
178;21,76000023;159,3200073;08/01/2019 10:00;-3,271154;-0,16493507;3,275309462
179;21,76000023;159,3200073;08/01/2019 11:00;-3,2679386;-0,33659592;3,285227467
180;21,76000023;159,3200073;08/01/2019 12:00;-3,3311722;-0,56855917;3,379344279
181;21,76000023;159,3200073;08/01/2019 13:00;-3,5246239;-0,44112012;3,552120577
182;21,76000023;159,3200073;08/01/2019 14:00;-3,7738066;-0,17860362;3,778030639
183;21,76000023;159,3200073;08/01/2019 15:00;-3,9886932;0,5285427;4,023559473
184;21,76000023;159,3200073;08/01/2019 16:00;-4,3579125;1,7156961;4,683483155
185;21,76000023;159,3200073;08/01/2019 17:00;-4,535824;2,9535036;5,412659501
186;21,76000023;159,3200073;08/01/2019 18:00;-3,9602919;2,8280747;4,866407139
187;21,76000023;159,3200073;08/01/2019 19:00;-3,1516533;1,8825328;3,67108271
188;21,76000023;159,3200073;08/01/2019 20:00;-3,105032;1,6051418;3,495383229
189;21,76000023;159,3200073;08/01/2019 21:00;-3,2390013;1,9307747;3,770811632
190;21,76000023;159,3200073;08/01/2019 22:00;-2,652216;1,7711743;3,189248832
191;21,76000023;159,3200073;08/01/2019 23:00;-2,2444134;1,4266466;2,659457093
192;21,76000023;159,3200073;09/01/2019 00:00;-1,8183911;1,0210123;2,085428567
193;21,76000023;159,3200073;09/01/2019 01:00;-1,4813244;1,0632241;1,82339449
194;21,76000023;159,3200073;09/01/2019 02:00;-0,57944345;0,3299467;0,666797973
195;21,76000023;159,3200073;09/01/2019 03:00;-0,48137784;0,44371727;0,654682855
196;21,76000023;159,3200073;09/01/2019 04:00;0,024490118;0,05175159;0,057253759
197;21,76000023;159,3200073;09/01/2019 05:00;0,5276785;-0,7269535;0,898279461
198;21,76000023;159,3200073;09/01/2019 06:00;0,857779;-0,813387;1,18210965
199;21,76000023;159,3200073;09/01/2019 07:00;1,0351543;-0,537604;1,166431518
200;21,76000023;159,3200073;09/01/2019 08:00;0,9419117;0,07104837;0,944587487
201;21,76000023;159,3200073;09/01/2019 09:00;1,0539098;0,6809068;1,254735007
202;21,76000023;159,3200073;09/01/2019 10:00;3,2606516;0,3653241;3,281053269
203;21,76000023;159,3200073;09/01/2019 11:00;3,8678002;-0,49217615;3,898989068
204;21,76000023;159,3200073;09/01/2019 12:00;4,091797;-0,7225313;4,155099778
205;21,76000023;159,3200073;09/01/2019 13:00;4,4985275;-0,76233095;4,562663492
206;21,76000023;159,3200073;09/01/2019 14:00;5,2814445;-1,2865599;5,435889291
207;21,76000023;159,3200073;09/01/2019 15:00;6,07615;-2,2485843;6,47886797
208;21,76000023;159,3200073;09/01/2019 16:00;6,669366;-3,691018;7,622601703
209;21,76000023;159,3200073;09/01/2019 17:00;6,8017273;-4,960183;8,41824861
210;21,76000023;159,3200073;09/01/2019 18:00;6,7792206;-5,1760654;8,529330863
211;21,76000023;159,3200073;09/01/2019 19:00;6,5884485;-4,5336437;7,997598317
212;21,76000023;159,3200073;09/01/2019 20:00;6,1699286;-4,370827;7,561226593
213;21,76000023;159,3200073;09/01/2019 21:00;5,467394;-5,1929502;7,540499249
214;21,76000023;159,3200073;09/01/2019 22:00;4,753069;-5,1764674;7,027622618
215;21,76000023;159,3200073;09/01/2019 23:00;3,9304981;-6,7270436;7,79114439
216;21,76000023;159,3200073;10/01/2019 00:00;3,175983;-7,2693634;7,932875409
217;21,76000023;159,3200073;10/01/2019 01:00;2,6727943;-6,8701615;7,37176698
218;21,76000023;159,3200073;10/01/2019 02:00;2,7129855;-6,7716675;7,294914054
219;21,76000023;159,3200073;10/01/2019 03:00;2,8083715;-8,077817;8,55208033
220;21,76000023;159,3200073;10/01/2019 04:00;2,0977983;-9,83503;10,05627032
221;21,76000023;159,3200073;10/01/2019 05:00;0,38138437;-10,522076;10,52898558
222;21,76000023;159,3200073;10/01/2019 06:00;-1,7637317;-10,828411;10,97110907
223;21,76000023;159,3200073;10/01/2019 07:00;-3,7866676;-10,911629;11,54999995
224;21,76000023;159,3200073;10/01/2019 08:00;-5,0384765;-10,456948;11,60749787
225;21,76000023;159,3200073;10/01/2019 09:00;-5,923209;-10,033626;11,65152589
226;21,76000023;159,3200073;10/01/2019 10:00;-6,1139817;-9,647691;11,42185247
227;21,76000023;159,3200073;10/01/2019 11:00;-6,4773064;-8,667173;10,82013798
228;21,76000023;159,3200073;10/01/2019 12:00;-6,8540277;-7,8776135;10,44195816
229;21,76000023;159,3200073;10/01/2019 13:00;-6,8449183;-7,0446362;9,822413437
230;21,76000023;159,3200073;10/01/2019 14:00;-6,640749;-6,4721656;9,272997079
231;21,76000023;159,3200073;10/01/2019 15:00;-6,1938276;-6,0404;8,651585548
232;21,76000023;159,3200073;10/01/2019 16:00;-6,274745;-5,9101467;8,619875801
233;21,76000023;159,3200073;10/01/2019 17:00;-6,310113;-5,6500425;8,469976761
234;21,76000023;159,3200073;10/01/2019 18:00;-6,404963;-5,658485;8,546461462
235;21,76000023;159,3200073;10/01/2019 19:00;-6,206153;-5,553559;8,328166222
236;21,76000023;159,3200073;10/01/2019 20:00;-6,2533097;-5,540694;8,354829274
237;21,76000023;159,3200073;10/01/2019 21:00;-6,467661;-5,260891;8,337122581
238;21,76000023;159,3200073;10/01/2019 22:00;-6,203473;-4,288012;7,541228293
239;21,76000023;159,3200073;10/01/2019 23:00;-5,993945;-3,8799655;7,140133678
240;21,76000023;159,3200073;11/01/2019 00:00;-5,5550623;-3,2355337;6,428638696
241;21,76000023;159,3200073;11/01/2019 01:00;-5,0250797;-2,6353238;5,674183423
242;21,76000023;159,3200073;11/01/2019 02:00;-4,33487;-2,8962321;5,213373025
243;21,76000023;159,3200073;11/01/2019 03:00;-4,058893;-2,8849757;4,979728625
244;21,76000023;159,3200073;11/01/2019 04:00;-3,781309;-2,1569247;4,353231204
245;21,76000023;159,3200073;11/01/2019 05:00;-3,5342696;-1,2861578;3,761018943
246;21,76000023;159,3200073;11/01/2019 06:00;-3,14951;-0,990274;3,30152326
247;21,76000023;159,3200073;11/01/2019 07:00;-2,940518;-1,08917;3,135751488
248;21,76000023;159,3200073;11/01/2019 08:00;-2,3231874;-1,1840458;2,607520691
249;21,76000023;159,3200073;11/01/2019 09:00;-1,5692084;-1,6483743;2,275863097
250;21,76000023;159,3200073;11/01/2019 10:00;-1,5483091;-1,5530965;2,193027544
251;21,76000023;159,3200073;11/01/2019 11:00;-0,8339851;-2,2349157;2,385451599
252;21,76000023;159,3200073;11/01/2019 12:00;-0,4090345;-3,219453;3,245333086
253;21,76000023;159,3200073;11/01/2019 13:00;-0,3742025;-3,6733294;3,692340232
254;21,76000023;159,3200073;11/01/2019 14:00;-0,66786313;-3,9330316;3,989333118
255;21,76000023;159,3200073;11/01/2019 15:00;-0,65553784;-4,470527;4,518333932
256;21,76000023;159,3200073;11/01/2019 16:00;-0,3913505;-5,1205873;5,135520374
257;21,76000023;159,3200073;11/01/2019 17:00;0,06736016;-5,7280335;5,728429555
258;21,76000023;159,3200073;11/01/2019 18:00;0,6707578;-6,3085446;6,34410364
259;21,76000023;159,3200073;11/01/2019 19:00;1,5147643;-6,7266417;6,895086616
260;21,76000023;159,3200073;11/01/2019 20:00;2,139597;-6,863327;7,189098193
261;21,76000023;159,3200073;11/01/2019 21:00;2,1583524;-6,837598;7,170162585
262;21,76000023;159,3200073;11/01/2019 22:00;1,8019943;-7,1089587;7,333790102
263;21,76000023;159,3200073;11/01/2019 23:00;1,1728745;-6,2482424;6,35737113
264;21,76000023;159,3200073;12/01/2019 00:00;0,8186598;-6,0733657;6,128292976
265;21,76000023;159,3200073;12/01/2019 01:00;0,8095498;-6,3137712;6,365459736
266;21,76000023;159,3200073;12/01/2019 02:00;0,74738836;-6,2084427;6,253267156
267;21,76000023;159,3200073;12/01/2019 03:00;0,56143904;-5,996178;6,022405201
268;21,76000023;159,3200073;12/01/2019 04:00;0,08825946;-6,013063;6,013710699
269;21,76000023;159,3200073;12/01/2019 05:00;-0,4567275;-5,9817057;5,999116859
