index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
149,41.0,6.0,2019-01-07 05:00:00,2.9644678,8.052139,325.32196
150,41.0,6.0,2019-01-07 06:00:00,2.788489,7.8191996,324.87738
151,41.0,6.0,2019-01-07 07:00:00,2.751659,7.746037,324.4932
152,41.0,6.0,2019-01-07 08:00:00,2.7389877,7.6997757,324.17487
153,41.0,6.0,2019-01-07 09:00:00,2.732356,7.7073183,323.81262
154,41.0,6.0,2019-01-07 10:00:00,2.7186186,7.765145,323.35156
155,41.0,6.0,2019-01-07 11:00:00,2.698131,7.84585,322.71487
156,41.0,6.0,2019-01-07 12:00:00,2.6854599,7.8761463,322.15503
157,41.0,6.0,2019-01-07 13:00:00,2.6684067,7.870489,321.75436
158,41.0,6.0,2019-01-07 14:00:00,2.627195,7.867598,321.4909
159,41.0,6.0,2019-01-07 15:00:00,2.563009,7.869358,321.26587
160,41.0,6.0,2019-01-07 16:00:00,2.486507,7.8621926,321.03534
161,41.0,6.0,2019-01-07 17:00:00,2.4059782,7.8393135,320.8213
162,41.0,6.0,2019-01-07 18:00:00,2.3295946,7.790538,320.62918
163,41.0,6.0,2019-01-07 19:00:00,2.2667112,7.7127237,320.6731
164,41.0,6.0,2019-01-07 20:00:00,2.2166176,7.636795,320.96948
165,41.0,6.0,2019-01-07 21:00:00,2.178248,7.5938025,321.07376
166,41.0,6.0,2019-01-07 22:00:00,2.1506553,7.600088,320.76642
167,41.0,6.0,2019-01-07 23:00:00,2.1574054,7.5739403,320.60175
168,41.0,6.0,2019-01-08 00:00:00,2.1973143,7.516994,320.74445
169,41.0,6.0,2019-01-08 01:00:00,2.2458682,7.460425,320.9475
170,41.0,6.0,2019-01-08 02:00:00,2.306857,7.377708,321.32623
171,41.0,6.0,2019-01-08 03:00:00,2.412373,7.31435,321.94647
172,41.0,6.0,2019-01-08 04:00:00,2.4509795,7.214034,322.34714
173,41.0,6.0,2019-01-08 05:00:00,2.454177,7.174938,322.23737
174,41.0,6.0,2019-01-08 06:00:00,2.458677,7.133077,321.7708
175,41.0,6.0,2019-01-08 07:00:00,2.543706,7.0553885,320.9475
176,41.0,6.0,2019-01-08 08:00:00,2.7400537,6.9922824,319.81686
177,41.0,6.0,2019-01-08 09:00:00,3.0227327,7.0086246,318.23065
178,41.0,6.0,2019-01-08 10:00:00,3.2897797,7.1008954,316.66638
179,41.0,6.0,2019-01-08 11:00:00,3.5358655,7.2167997,315.46436
180,41.0,6.0,2019-01-08 12:00:00,3.7707012,7.357846,315.12958
181,41.0,6.0,2019-01-08 13:00:00,4.011813,7.5392447,316.19983
182,41.0,6.0,2019-01-08 14:00:00,4.2567153,7.7296944,317.70923
183,41.0,6.0,2019-01-08 15:00:00,4.4893007,7.9056883,318.96613
184,41.0,6.0,2019-01-08 16:00:00,4.598488,8.068733,319.73456
185,41.0,6.0,2019-01-08 17:00:00,4.6954775,8.225242,320.1956
186,41.0,6.0,2019-01-08 18:00:00,4.9124312,8.373705,320.57977
187,41.0,6.0,2019-01-08 19:00:00,5.245559,8.528955,320.9585
188,41.0,6.0,2019-01-08 20:00:00,5.655189,8.691624,321.41956
189,41.0,6.0,2019-01-08 21:00:00,6.069438,8.872395,321.93
190,41.0,6.0,2019-01-08 22:00:00,6.279641,9.066742,322.59412
191,41.0,6.0,2019-01-08 23:00:00,6.4371457,9.192074,322.6051
192,41.0,6.0,2019-01-09 00:00:00,6.537096,9.272654,322.64352
193,41.0,6.0,2019-01-09 01:00:00,6.575821,9.325703,323.16495
194,41.0,6.0,2019-01-09 02:00:00,6.5922813,9.355873,323.96628
195,41.0,6.0,2019-01-09 03:00:00,6.554859,9.36681,324.7786
196,41.0,6.0,2019-01-09 04:00:00,6.7945504,9.51037,325.42627
197,41.0,6.0,2019-01-09 05:00:00,6.650902,9.488371,325.86536
