"Tempo, CF wec, produzione WEC, CF eolico, produzione EOLICO, CF FV, produzione FV, consumo elettrico, produzione diesel"
2019-11-24 12:00:00,0.3843043449277266,0.029549622261718703,1.0,15.0,0.01659,0.06636,0.226857514,0.1973078917382813
2019-11-24 13:00:00,0.3843043449277266,0.029549622261718703,1.0,15.0,0.03293,0.13172,0.220971385,0.1914217627382813
2019-11-24 14:00:00,0.3843043449277266,0.029549622261718703,1.0,15.0,0.01449,0.05796,0.156033279,0.1264836567382813
2019-11-24 15:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.194553404,0.1490271234882812
2019-11-24 16:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.19162541,0.1388164150527344
2019-11-24 17:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.234218679,0.18140968405273442
2019-11-24 18:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.401782659,0.3489736640527344
2019-11-24 19:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.22953302,0.1767240250527344
2019-11-24 20:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.215156623,0.1623476280527344
2019-11-24 21:00:00,0.6868015445257378,0.052808994947265604,1.0,15.0,0.0,0.0,0.188029966,0.1352209710527344
2019-11-24 22:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.177356662,0.1318303814882812
2019-11-24 23:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.157895731,0.1123694504882812
2019-11-25 00:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.141942178,0.0964158974882812
2019-11-25 01:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.156564134,0.11103785348828119
2019-11-25 02:00:00,0.592087007207462,0.04552628051171881,1.0,15.0,0.0,0.0,0.140404742,0.09487846148828119
2019-11-25 03:00:00,0.592087007207462,0.04552628051171881,1.187124855,17.806872825,0.0,0.0,0.134719902,0.0891936214882812
2019-11-25 04:00:00,0.43851963541579303,0.0337183010078125,0.771630108,11.57445162,0.0,0.0,0.128775643,0.09505734199218749
2019-11-25 05:00:00,0.3843043449277266,0.029549622261718703,0.575024874,8.62537311,0.0,0.0,0.192518156,0.1629685337382813
2019-11-25 06:00:00,0.21404844471034568,0.016458441780273402,0.512125937,7.681889054999999,0.0,0.0,0.202932898,0.1864744562197266
2019-11-25 07:00:00,0.2543502424863241,0.019557295375000002,0.41396946,6.2095419000000005,0.14753,0.59012,0.181391449,0.161834153625
2019-11-25 08:00:00,0.2543502424863241,0.019557295375000002,0.312404426,4.686066390000001,0.33401,1.33604,0.189113005,0.169555709625
2019-11-25 09:00:00,0.2543502424863241,0.019557295375000002,0.239381785,3.5907267750000003,0.36758,1.47032,0.162767011,0.14320971562499998
2019-11-25 10:00:00,0.10042216139903577,0.0077215805004882815,0.124627572,1.86941358,0.2396,0.9584,0.19831149,0.1905899094995117
2019-11-25 11:00:00,0.10042216139903577,0.0077215805004882815,0.084614593,1.269218895,0.14522,0.58088,0.171988344,0.1642667634995117
2019-11-25 12:00:00,0.11352050757702097,0.008728728056640631,0.0,0.0,0.19969,0.79876,0.225683012,0.21695428394335936
2019-11-25 13:00:00,0.11352050757702097,0.008728728056640631,0.0,0.0,0.14381,0.57524,0.160707618,0.15197888994335937
2019-11-25 14:00:00,0.11352050757702097,0.008728728056640631,0.0,0.0,0.06075,0.243,0.162169688,0.15344095994335938
2019-11-25 15:00:00,0.11352050757702097,0.008728728056640631,0.069834058,1.04751087,2e-05,8e-05,0.176792414,0.16806368594335938
2019-11-25 16:00:00,0.11352050757702097,0.008728728056640631,0.12584172,1.8876258,0.0,0.0,0.139388945,0.13066021694335936
2019-11-25 17:00:00,0.11352050757702097,0.008728728056640631,0.171811179,2.577167685,0.0,0.0,0.194887215,0.18615848694335937
2019-11-25 18:00:00,0.02363842301807286,0.0018175867128906202,0.136788013,2.0518201950000003,0.0,0.0,0.291230495,0.28941290828710936
2019-11-25 19:00:00,0.02363842301807286,0.0018175867128906202,0.147263691,2.208955365,0.0,0.0,0.289166633,0.2873490462871094
2019-11-25 20:00:00,0.02363842301807286,0.0018175867128906202,0.11175603,1.67634045,0.0,0.0,0.195027366,0.1932097792871094
2019-11-25 21:00:00,0.01927220943448287,0.00148186331082153,0.093209097,1.3981364550000002,0.0,0.0,0.149182145,0.14770028168917845
2019-11-25 22:00:00,0.01927220943448287,0.00148186331082153,0.214384523,3.215767845,0.0,0.0,0.175700893,0.17421902968917846
2019-11-25 23:00:00,0.01927220943448287,0.00148186331082153,0.339620302,5.09430453,0.0,0.0,0.166196358,0.16471449468917845
2019-11-26 00:00:00,0.015324396799998578,0.00117831125982666,0.442347529,6.635212935,0.0,0.0,0.154487555,0.15330924374017335
2019-11-26 01:00:00,0.09210020336588408,0.007081695160644531,0.551253563,8.268803445,0.0,0.0,0.167025155,0.15994345983935548
2019-11-26 02:00:00,0.09210020336588408,0.007081695160644531,0.567264415,8.508966225,0.0,0.0,0.130463127,0.12338143183935549
2019-11-26 03:00:00,0.09210020336588408,0.007081695160644531,0.564229168,8.46343752,0.0,0.0,0.152764598,0.14568290283935548
2019-11-26 04:00:00,0.09210020336588408,0.007081695160644531,0.527077137,7.906157055,0.0,0.0,0.160358339,0.15327664383935546
2019-11-26 05:00:00,0.09210020336588408,0.007081695160644531,0.398565863,5.978487945,0.0,0.0,0.17650469,0.16942299483935547
2019-11-26 06:00:00,0.09210020336588408,0.007081695160644531,0.233292617,3.499389255,0.0,0.0,0.216359934,0.20927823883935548
2019-11-26 07:00:00,0.015324396799998578,0.00117831125982666,0.126648158,1.89972237,0.11959,0.47836,0.212337685,0.21115937374017335
2019-11-26 08:00:00,0.015324396799998578,0.00117831125982666,0.106180017,1.592700255,0.1328,0.5312,0.177642463,0.17646415174017335
2019-11-26 09:00:00,0.015324396799998578,0.00117831125982666,0.178324966,2.67487449,0.27586,1.10344,0.176446414,0.17526810274017335
2019-11-26 10:00:00,0.015324396799998578,0.00117831125982666,0.200510646,3.0076596899999997,0.37458,1.49832,0.188634218,0.18745590674017334
2019-11-26 11:00:00,0.015324396799998578,0.00117831125982666,0.12234498,1.8351747,0.4994,1.9976,0.174408392,0.17323008074017335
2019-11-26 12:00:00,0.015324396799998578,0.00117831125982666,0.067494111,1.012411665,0.49874,1.99496,0.228167896,0.22698958474017336
2019-11-26 13:00:00,0.015324396799998578,0.00117831125982666,0.0,0.0,0.4444,1.7776,0.192861738,0.19168342674017336
2019-11-26 14:00:00,0.015324396799998578,0.00117831125982666,0.0,0.0,0.29084,1.16336,0.177213481,0.17603516974017336
