100m_ucomponent_wind,100m_vcomponent_wind
4.9598966,5.5437427
2.8977914,0.7037797
-1.626702,11.329441
2.4898262,4.4442825
-3.1494641,3.4361916
-7.6478353,4.8812084
-7.1780224,9.325815
5.174251,7.5885043
-3.3035073,6.4253893
-4.3069015,12.541489
-6.1365976,10.381107
6.3078713,6.060779
-4.334176,7.2992415
-0.39051425,1.023788
1.813342,5.386553
0.18340266,7.0615087
-0.06667769,7.503198
-5.3855886,7.6118884
-13.680492,5.863318
5.186544,-4.3856077
0.1088779,2.4783316
3.3042192,11.530798
4.802012,6.2015133
6.365494,-1.3596026
1.4053768,0.12871742
-1.1457489,8.986753
5.84651,1.86906
4.9779515,-8.15902
-2.198698,1.3741083
-1.4711221,2.2063897
2.1425567,1.37151
-0.5199721,0.21315801
1.4003829,6.3201632
4.9464517,-2.2797887
0.6693497,-9.287926
4.243845,-0.34631515
3.8735266,2.8624282
9.185907,-7.693082
-0.76390594,5.9183125
2.3446183,5.715222
-0.8176867,5.85076
-0.95982134,4.9271097
-5.3310394,5.0041885
0.016298294,4.996827
2.426826,12.573532
4.8761525,11.2003975
7.968542,3.5072079
9.266193,-8.245626
1.4230477,1.4403617
2.7879248,-1.9324996
0.7304292,-1.9597805
-1.6044214,-5.5859637
0.7415694,-10.528555
-0.47733164,-9.728317
3.498598,-6.3372684
4.129369,-2.3456092
