"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-06 23:00:00', '1.5406244', '5.043443')",5.86565803937718
"('2019-01-07 00:00:00', '1.4512482', '5.0890083')",5.251853795253741
"('2019-01-07 01:00:00', '1.424895', '5.0255527')",4.999719463997385
"('2019-01-07 02:00:00', '1.4354482', '4.949052')",4.996813579041114
"('2019-01-07 03:00:00', '1.4423459', '4.921284')",5.016644855265191
"('2019-01-07 04:00:00', '1.4981177', '4.9246383')",5.4157958947874345
"('2019-01-07 05:00:00', '1.5669185', '4.9743967')",5.984519864612509
"('2019-01-07 06:00:00', '1.6011126', '5.052202')",6.346299106620712
"('2019-01-07 07:00:00', '1.6181507', '5.122926')",6.572825364203261
"('2019-01-07 08:00:00', '1.6407306', '5.1696095')",6.819120651122881
"('2019-01-07 09:00:00', '1.6689702', '5.1975636')",7.0940305903382015
"('2019-01-07 10:00:00', '1.6304134', '5.222349')",6.802326033125562
"('2019-01-07 11:00:00', '1.591385', '5.190761')",6.441360909811711
"('2019-01-07 12:00:00', '1.6469209', '5.119199')",6.803675223866089
"('2019-01-07 13:00:00', '1.7513897', '5.1248827')",7.702746266340711
"('2019-01-07 14:00:00', '1.848784', '5.1914134')",8.694688787016194
"('2019-01-07 15:00:00', '1.9103334', '5.2724805')",9.428213316345174
"('2019-01-07 16:00:00', '1.8720714', '5.328295')",9.150169908986173
"('2019-01-07 17:00:00', '1.7725548', '5.3398495')",8.220996024882329
"('2019-01-07 18:00:00', '1.6429119', '5.3050933')",7.016453588764419
"('2019-01-07 19:00:00', '1.5177498', '5.26866')",5.946981972758108
"('2019-01-07 20:00:00', '1.385395', '5.2078133')",4.897773738343243
"('2019-01-07 21:00:00', '1.2615888', '5.1282372')",3.9994459720703
"('2019-01-07 22:00:00', '1.1392565', '5.0735407')",3.2266381094689742
"('2019-01-07 23:00:00', '1.0356131', '4.9907966')",2.6227749156346634
"('2019-01-08 00:00:00', '0.95378304', '4.8584805')",2.1656872276767776
"('2019-01-08 01:00:00', '0.8911724', '4.6835814')",1.822626196758885
"('2019-01-08 02:00:00', '0.8334552', '4.5307655')",1.5421697708629283
"('2019-01-08 03:00:00', '0.771611', '4.4294786')",1.29224692796339
"('2019-01-08 04:00:00', '0.70758545', '4.373291')",1.0729074090864514
"('2019-01-08 05:00:00', '0.64774585', '4.334528')",0.8911425304417867
"('2019-01-08 06:00:00', '0.5967494', '4.275638')",0.7460724278073356
"('2019-01-08 07:00:00', '0.5599613', '4.1404333')",0.6361476088086638
"('2019-01-08 08:00:00', '0.530071', '4.003738')",0.5512261593953143
"('2019-01-08 09:00:00', '0.5096135', '3.8432817')",0.4890802735983037
"('2019-01-08 10:00:00', '0.4965843', '3.6808686')",0.4447668024020042
"('2019-01-08 11:00:00', '0.522171', '3.4321704')",0.45855392876687034
"('2019-01-08 12:00:00', '0.5752307', '3.2502825')",0.5269886989671522
"('2019-01-08 13:00:00', '0.62605023', '3.1953993')",0.6136766155832388
"('2019-01-08 14:00:00', '0.64998615', '3.2166445')",0.6658974492295732
"('2019-01-08 15:00:00', '0.66000855', '3.2365851')",0.6908475689690602
"('2019-01-08 16:00:00', '0.64933765', '3.2590415')",0.6733287222732475
"('2019-01-08 17:00:00', '0.61885774', '3.27423')",0.6144505218551927
"('2019-01-08 18:00:00', '0.5730494', '3.2741365')",0.5268378705356446
"('2019-01-08 19:00:00', '0.5185747', '3.2612777')",0.42974072327302987
"('2019-01-08 20:00:00', '0.4697597', '3.2366781')",0.3499831232145591
"('2019-01-08 21:00:00', '0.4296111', '3.2133832')",0.29060935230063256
"('2019-01-08 22:00:00', '0.4172305', '3.1432185')",0.2681160105042219
"('2019-01-08 23:00:00', '0.40650058', '3.1539342')",0.2553706886759004
"('2019-01-09 00:00:00', '0.408682', '3.1990333')",0.26180977713292497
"('2019-01-09 01:00:00', '0.40903568', '3.353526')",0.27492874130606576
"('2019-01-09 02:00:00', '0.40443718', '3.6581326')",0.29319575008089294
"('2019-01-09 03:00:00', '0.42165208', '3.9491343')",0.34403804992236875
"('2019-01-09 04:00:00', '0.4649843', '4.123754')",0.436883264379812
"('2019-01-09 05:00:00', '0.5320165', '4.152174')",0.575866517527855
"('2019-01-09 06:00:00', '0.60924804', '4.1507764')",0.7549421962669285
"('2019-01-09 07:00:00', '0.69544065', '4.1307425')",0.9789135682650372
"('2019-01-09 08:00:00', '0.790064', '4.1089387')",1.2567540361369631
"('2019-01-09 09:00:00', '0.8441261', '4.1997895')",1.4663520841656152
"('2019-01-09 10:00:00', '0.8727784', '4.3141212')",1.6102614689038401
"('2019-01-09 11:00:00', '0.8947687', '4.4122405')",1.7309193139755676
"('2019-01-09 12:00:00', '0.9256023', '4.449326')",1.8678377897110516
"('2019-01-09 13:00:00', '0.9704084', '4.43451')",2.0462128751529893
"('2019-01-09 14:00:00', '1.0110286', '4.423981')",2.215828864074825
"('2019-01-09 15:00:00', '1.0768228', '4.3663955')",2.480890726394801
"('2019-01-09 16:00:00', '1.1673782', '4.319712')",2.8845231627676937
"('2019-01-09 17:00:00', '1.224388', '4.366209')",3.2072936878720135
"('2019-01-09 18:00:00', '1.2155447', '4.415315')",3.196683510777609
"('2019-01-09 19:00:00', '1.2278074', '4.4593897')",3.2940637478751946
"('2019-01-09 20:00:00', '1.2500336', '4.479796')",3.4300282033815406
"('2019-01-09 21:00:00', '1.2590537', '4.5022526')",3.4971514844089806
"('2019-01-09 22:00:00', '1.2152499', '4.542227')",3.286972741580446
