time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190110:0010;0;0;0;0;0;0;0
20190110:0110;0;0;0;0;0;0;0
20190110:0210;0;0;0;0;0;0;0
20190110:0310;0;0;0;0;0;0;0
20190110:0410;0;0;0;0;0;0;0
20190110:0510;0;0;0;0;0;0;0
20190110:0610;0;0;0;0;0;0;0
20190110:0710;30580;49,11;6,09;0;0;0;0,03058
20190110:0810;169970;203,82;14,25;0;0;0;0,16997
20190110:0910;503270;587,73;20,63;0;0;0;0,50327
20190110:1010;607200;720,68;24,67;0;0;0;0,6072
20190110:1110;543590;639,12;25,91;0;0;0;0,54359
20190110:1210;311010;360,88;24,18;0;0;0;0,31101
20190110:1310;225610;264,98;19,71;0;0;0;0,22561
20190110:1410;239560;280,73;12,99;0;0;0;0,23956
20190110:1510;95130;125,82;4,58;0;0;0;0,09513
20190110:1610;0;0;0;0;0;0;0
20190110:1710;0;0;0;0;0;0;0
20190110:1810;0;0;0;0;0;0;0
20190110:1910;0;0;0;0;0;0;0
20190110:2010;0;0;0;0;0;0;0
20190110:2110;0;0;0;0;0;0;0
20190110:2210;0;0;0;0;0;0;0
20190110:2310;0;0;0;0;0;0;0
20190111:0010;0;0;0;0;0;0;0
20190111:0110;0;0;0;0;0;0;0
20190111:0210;0;0;0;0;0;0;0
20190111:0310;0;0;0;0;0;0;0
20190111:0410;0;0;0;0;0;0;0
20190111:0510;0;0;0;0;0;0;0
20190111:0610;0;0;0;0;0;0;0
20190111:0710;30420;48,92;6,15;0;0;0;0,03042
20190111:0810;7240;18,47;14,33;0;0;0;0,00724
20190111:0910;34470;53,58;20,74;0;0;0;0,03447
20190111:1010;28350;46,19;24,8;0;0;0;0,02835
20190111:1110;235100;276,36;26,06;0;0;0;0,2351
20190111:1210;18020;33,25;24,35;0;0;0;0,01802
20190111:1310;232140;272,15;19,88;0;0;0;0,23214
20190111:1410;138770;169,83;13,17;0;0;0;0,13877
20190111:1510;53000;76,68;4,76;0;0;0;0,053
20190111:1610;0;0;0;0;0;0;0
20190111:1710;0;0;0;0;0;0;0
20190111:1810;0;0;0;0;0;0;0
20190111:1910;0;0;0;0;0;0;0
20190111:2010;0;0;0;0;0;0;0
20190111:2110;0;0;0;0;0;0;0
20190111:2210;0;0;0;0;0;0;0
20190111:2310;0;0;0;0;0;0;0
20190112:0010;0;0;0;0;0;0;0
20190112:0110;0;0;0;0;0;0;0
20190112:0210;0;0;0;0;0;0;0
20190112:0310;0;0;0;0;0;0;0
20190112:0410;0;0;0;0;0;0;0
20190112:0510;0;0;0;0;0;0;0
20190112:0610;0;0;0;0;0;0;0
20190112:0710;39980;60,47;6,22;0;0;0;0,03998
20190112:0810;308040;357,46;14,42;0;0;0;0,30804
20190112:0910;370610;428,76;20,85;0;0;0;0,37061
20190112:1010;637900;761,22;24,94;0;0;0;0,6379
20190112:1110;707010;855,47;26,22;0;0;0;0,70701
20190112:1210;699550;844,33;24,52;0;0;0;0,69955
20190112:1310;559440;658,14;20,06;0;0;0;0,55944
20190112:1410;263340;307,29;13,35;0;0;0;0,26334
20190112:1510;151680;190,39;4,94;0;0;0;0,15168
20190112:1610;0;0;0;0;0;0;0
20190112:1710;0;0;0;0;0;0;0
20190112:1810;0;0;0;0;0;0;0
20190112:1910;0;0;0;0;0;0;0
20190112:2010;0;0;0;0;0;0;0
20190112:2110;0;0;0;0;0;0;0
20190112:2210;0;0;0;0;0;0;0
20190112:2310;0;0;0;0;0;0;0
20190113:0010;0;0;0;0;0;0;0
20190113:0110;0;0;0;0;0;0;0
20190113:0210;0;0;0;0;0;0;0
20190113:0310;0;0;0;0;0;0;0
20190113:0410;0;0;0;0;0;0;0
20190113:0510;0;0;0;0;0;0;0
20190113:0610;0;0;0;0;0;0;0
20190113:0710;17250;32,34;6,29;0;0;0;0,01725
20190113:0810;74760;99,68;14,52;0;0;0;0,07476
20190113:0910;125130;155,44;20,97;0;0;0;0,12513
20190113:1010;55060;77,59;25,09;0;0;0;0,05506
20190113:1110;79540;105,3;26,39;0;0;0;0,07954
20190113:1210;509460;595,85;24,7;0;0;0;0,50946
20190113:1310;119490;149,18;20,25;0;0;0;0,11949
20190113:1410;129260;159,43;13,54;0;0;0;0,12926
20190113:1510;43600;65,33;5,12;0;0;0;0,0436
20190113:1610;0;0;0;0;0;0;0
20190113:1710;0;0;0;0;0;0;0
20190113:1810;0;0;0;0;0;0;0
20190113:1910;0;0;0;0;0;0;0
20190113:2010;0;0;0;0;0;0;0
20190113:2110;0;0;0;0;0;0;0
20190113:2210;0;0;0;0;0;0;0
20190113:2310;0;0;0;0;0;0;0
20190114:0010;0;0;0;0;0;0;0
20190114:0110;0;0;0;0;0;0;0
20190114:0210;0;0;0;0;0;0;0
20190114:0310;0;0;0;0;0;0;0
20190114:0410;0;0;0;0;0;0;0
20190114:0510;0;0;0;0;0;0;0
20190114:0610;0;0;0;0;0;0;0
20190114:0710;11100;24,02;6,37;0;0;0;0,0111
20190114:0810;71320;95,81;14,62;0;0;0;0,07132
20190114:0910;26090;43,41;21,1;0;0;0;0,02609
20190114:1010;292000;339,52;25,24;0;0;0;0,292
20190114:1110;82840;109;26,57;0;0;0;0,08284
20190114:1210;99070;127,03;24,89;0;0;0;0,09907
20190114:1310;13120;26,79;20,45;0;0;0;0,01312
20190114:1410;63150;86,64;13,73;0;0;0;0,06315
20190114:1510;167400;208,09;5,31;0;0;0;0,1674
20190114:1610;0;0;0;0;0;0;0
20190114:1710;0;0;0;0;0;0;0
20190114:1810;0;0;0;0;0;0;0
20190114:1910;0;0;0;0;0;0;0
20190114:2010;0;0;0;0;0;0;0
20190114:2110;0;0;0;0;0;0;0
20190114:2210;0;0;0;0;0;0;0
20190114:2310;0;0;0;0;0;0;0
20190115:0010;0;0;0;0;0;0;0
20190115:0110;0;0;0;0;0;0;0
20190115:0210;0;0;0;0;0;0;0
20190115:0310;0;0;0;0;0;0;0
20190115:0410;0;0;0;0;0;0;0
20190115:0510;0;0;0;0;0;0;0
20190115:0610;0;0;0;0;0;0;0
20190115:0710;243030;292,57;6,46;0;0;0;0,24303
20190115:0810;477520;557,91;14,73;0;0;0;0,47752
20190115:0910;650570;777,16;21,23;0;0;0;0,65057
20190115:1010;724980;880,3;25,4;0;0;0;0,72498
20190115:1110;756380;925,35;26,75;0;0;0;0,75638
20190115:1210;733420;891,87;25,09;0;0;0;0,73342
20190115:1310;634320;755,43;20,64;0;0;0;0,63432
20190115:1410;471110;550,63;13,92;0;0;0;0,47111
20190115:1510;202460;248,25;5,5;0;0;0;0,20246
20190115:1610;0;0;0;0;0;0;0
20190115:1710;0;0;0;0;0;0;0
20190115:1810;0;0;0;0;0;0;0
20190115:1910;0;0;0;0;0;0;0
20190115:2010;0;0;0;0;0;0;0
20190115:2110;0;0;0;0;0;0;0
20190115:2210;0;0;0;0;0;0;0
20190115:2310;0;0;0;0;0;0;0
20190116:0010;0;0;0;0;0;0;0
20190116:0110;0;0;0;0;0;0;0
20190116:0210;0;0;0;0;0;0;0
20190116:0310;0;0;0;0;0;0;0
20190116:0410;0;0;0;0;0;0;0
20190116:0510;0;0;0;0;0;0;0
20190116:0610;0;0;0;0;0;0;0
20190116:0710;217670;263,2;6,55;0;0;0;0,21767
20190116:0810;393170;456,21;14,84;0;0;0;0,39317
20190116:0910;607620;720,27;21,37;0;0;0;0,60762
20190116:1010;707520;855,62;25,57;0;0;0;0,70752
20190116:1110;739340;900,76;26,93;0;0;0;0,73934
20190116:1210;709870;858,6;25,29;0;0;0;0,70987
20190116:1310;614170;728,69;20,85;0;0;0;0,61417
20190116:1410;449360;523,91;14,12;0;0;0;0,44936
20190116:1510;178860;220,74;5,69;0;0;0;0,17886
