index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento;potenza prodotta;capacity factor
93;21,76000023;159,3200073;43469,875;2,688335;-9,624776;9,993170574;13282424,75;0,737912486
94;21,76000023;159,3200073;43469,91667;3,7616968;-9,045069;9,796103104;12512022,16;0,695112342
95;21,76000023;159,3200073;43469,95833;3,6502342;-9,28065;9,972696433;13200952,27;0,733386237
96;21,76000023;159,3200073;43470;3,2177815;-9,542362;10,07029246;13592323,84;0,755129102
97;21,76000023;159,3200073;43470,04167;2,8121228;-10,303781;10,68063376;16216552,51;0,900919584
98;21,76000023;159,3200073;43470,08333;2,2773175;-10,812331;11,0495555;18000000;1
99;21,76000023;159,3200073;43470,125;1,6889243;-10,973137;11,10235114;18000000;1
100;21,76000023;159,3200073;43470,16667;0,9896045;-10,948213;10,99284699;17680641,24;0,982257846
101;21,76000023;159,3200073;43470,20833;-0,048389196;-11,00168;11,00178642;18000000;1
102;21,76000023;159,3200073;43470,25;-1,3880818;-10,907207;10,99517784;17691890,28;0,982882793
103;21,76000023;159,3200073;43470,29167;-2,5048497;-10,803888;11,09045842;18000000;1
104;21,76000023;159,3200073;43470,33333;-3,43674;-10,662379;11,20256702;18000000;1
105;21,76000023;159,3200073;43470,375;-4,3193293;-10,15021;11,03101848;18000000;1
106;21,76000023;159,3200073;43470,41667;-5,2121005;-8,97954;10,38258784;14896502,19;0,827583455
107;21,76000023;159,3200073;43470,45833;-5,272119;-8,143748;9,701333426;12152391,61;0,675132867
108;21,76000023;159,3200073;43470,5;-5,3037357;-7,1045365;8,865892581;9275447,209;0,515302623
109;21,76000023;159,3200073;43470,54167;-5,3557158;-6,4030185;8,347594722;7741970,82;0,43010949
110;21,76000023;159,3200073;43470,58333;-5,4082317;-5,913765;8,013837196;6849975,351;0,380554186
111;21,76000023;159,3200073;43470,625;-5,244253;-5,4297376;7,548790627;5725317,855;0,318073214
112;21,76000023;159,3200073;43470,66667;-5,0116825;-5,491648;7,434726574;5469686,892;0,303871494
113;21,76000023;159,3200073;43470,70833;-4,6274586;-5,688234;7,332760676;5247712,035;0,291539557
114;21,76000023;159,3200073;43470,75;-4,6815825;-5,665319;7,349357392;5283425,213;0,293523623
115;21,76000023;159,3200073;43470,79167;-4,713199;-5,433758;7,193050175;4953438,005;0,275191
116;21,76000023;159,3200073;43470,83333;-4,6033444;-5,4566727;7,139051521;4842716,118;0,269039784
117;21,76000023;159,3200073;43470,875;-4,6906924;-5,162799;6,975463333;4517380,192;0,250965566
118;21,76000023;159,3200073;43470,91667;-4,6638985;-3,340862;5,737012125;2513186,777;0,139621488
119;21,76000023;159,3200073;43470,95833;-4,4908104;-2,4536126;5,117381444;1783654,906;0,099091939
120;21,76000023;159,3200073;43471;-4,064788;-1,9607408;4,512981938;1223371,19;0,067965066
121;21,76000023;159,3200073;43471,04167;-3,397085;-1,9325997;3,908340837;0;0
122;21,76000023;159,3200073;43471,08333;-2,7068753;-2,3812497;3,605207903;0;0
123;21,76000023;159,3200073;43471,125;-2,389636;-2,5798457;3,516527271;0;0
124;21,76000023;159,3200073;43471,16667;-1,9507529;-2,5907;3,243017633;0;0
125;21,76000023;159,3200073;43471,20833;-1,4765017;-2,8729153;3,230123773;0;0
126;21,76000023;159,3200073;43471,25;-1,2776911;-3,2045786;3,449901238;0;0
127;21,76000023;159,3200073;43471,29167;-1,2026684;-3,2962382;3,508788616;0;0
128;21,76000023;159,3200073;43471,33333;-1,2717965;-3,0329177;3,288777297;0;0
129;21,76000023;159,3200073;43471,375;-1,2985904;-2,719747;3,013861439;0;0
130;21,76000023;159,3200073;43471,41667;-1,2755477;-2,0757174;2,436313744;0;0
131;21,76000023;159,3200073;43471,45833;-0,9315145;-2,3322036;2,511352802;0;0
132;21,76000023;159,3200073;43471,5;-0,8993621;-2,4101949;2,572526315;0;0
133;21,76000023;159,3200073;43471,54167;-1,2412515;-2,1319997;2,467007906;0;0
134;21,76000023;159,3200073;43471,58333;-1,6281548;-1,8349098;2,453116798;0;0
135;21,76000023;159,3200073;43471,625;-1,8725147;-1,838126;2,623931877;0;0
136;21,76000023;159,3200073;43471,66667;-2,014522;-1,9217453;2,784134315;0;0
137;21,76000023;159,3200073;43471,70833;-2,120626;-1,6761135;2,703037384;0;0
138;21,76000023;159,3200073;43471,75;-2,2267294;-1,5185231;2,695224708;0;0
139;21,76000023;159,3200073;43471,79167;-1,9035957;-1,7030486;2,554222215;0;0
140;21,76000023;159,3200073;43471,83333;-1,666738;-2,0680792;2,656118811;0;0
141;21,76000023;159,3200073;43471,875;-1,4909704;-2,192302;2,651260227;0;0
142;21,76000023;159,3200073;43471,91667;-1,3312788;-0,72574747;1,516249529;0;0
143;21,76000023;159,3200073;43471,95833;-1,0322595;-0,50785476;1,150424327;0;0
144;21,76000023;159,3200073;43472;-0,7225225;-0,4953923;0,876043546;0;0
145;21,76000023;159,3200073;43472,04167;-0,27560115;-0,46162292;0,537635298;0;0
146;21,76000023;159,3200073;43472,08333;0,104335785;-0,46001488;0,471698681;0;0
147;21,76000023;159,3200073;43472,125;0,38138437;-0,113477014;0,397908369;0;0
148;21,76000023;159,3200073;43472,16667;0,80526304;0,10722981;0,812371095;0;0
149;21,76000023;159,3200073;43472,20833;1,145545;-0,06402904;1,147333023;0;0
150;21,76000023;159,3200073;43472,25;1,1557264;-0,18664393;1,170700418;0;0
151;21,76000023;159,3200073;43472,29167;1,1701951;-0,4986084;1,271993282;0;0
152;21,76000023;159,3200073;43472,33333;1,1085696;-0,8652471;1,406264236;0;0
153;21,76000023;159,3200073;43472,375;0,954237;-1,137412;1,484679868;0;0
154;21,76000023;159,3200073;43472,41667;1,1246457;-0,70243055;1,325985154;0;0
155;21,76000023;159,3200073;43472,45833;1,1391144;-0,6570027;1,315003484;0;0
156;21,76000023;159,3200073;43472,5;1,6567717;-1,6330978;2,326349262;0;0
157;21,76000023;159,3200073;43472,54167;1,7778797;-2,3695912;2,962400831;0;0
158;21,76000023;159,3200073;43472,58333;1,6353364;-2,5826597;3,056870339;0;0
159;21,76000023;159,3200073;43472,625;1,284337;-2,4202452;2,739910283;0;0
160;21,76000023;159,3200073;43472,66667;1,0603404;-2,392908;2,617313596;0;0
161;21,76000023;159,3200073;43472,70833;0,69701576;-2,062451;2,177047335;0;0
162;21,76000023;159,3200073;43472,75;0,3304758;-1,6523945;1,685117752;0;0
163;21,76000023;159,3200073;43472,79167;0,038958788;-1,488774;1,489283657;0;0
164;21,76000023;159,3200073;43472,83333;-0,4653015;-1,6013385;1,667570232;0;0
165;21,76000023;159,3200073;43472,875;-0,95080614;-1,5084728;1,783121562;0;0
166;21,76000023;159,3200073;43472,91667;-0,53603745;-0,4459443;0,6972822;0;0
167;21,76000023;159,3200073;43472,95833;-1,0402977;-0,9565047;1,413195155;0;0
168;21,76000023;159,3200073;43473;-1,5091901;-1,4743013;2,109791241;0;0
169;21,76000023;159,3200073;43473,04167;-1,801779;-1,7625469;2,520511682;0;0
170;21,76000023;159,3200073;43473,08333;-2,0204167;-2,1219492;2,929974752;0;0
171;21,76000023;159,3200073;43473,125;-2,232624;-2,1183312;3,077651215;0;0
172;21,76000023;159,3200073;43473,16667;-2,5895183;-1,6435502;3,067060855;0;0
173;21,76000023;159,3200073;43473,20833;-2,764214;-1,2921882;3,051332395;0;0
174;21,76000023;159,3200073;43473,25;-2,93891;-0,95771074;3,091019549;0;0
175;21,76000023;159,3200073;43473,29167;-3,0460856;-0,50262856;3,087275976;0;0
176;21,76000023;159,3200073;43473,33333;-3,1178932;-0,3703653;3,139813444;0;0
177;21,76000023;159,3200073;43473,375;-3,2770486;-0,19749838;3,282994538;0;0
178;21,76000023;159,3200073;43473,41667;-3,271154;-0,16493507;3,275309462;0;0
179;21,76000023;159,3200073;43473,45833;-3,2679386;-0,33659592;3,285227467;0;0
180;21,76000023;159,3200073;43473,5;-3,3311722;-0,56855917;3,379344279;0;0
181;21,76000023;159,3200073;43473,54167;-3,5246239;-0,44112012;3,552120577;0;0
182;21,76000023;159,3200073;43473,58333;-3,7738066;-0,17860362;3,778030639;0;0
183;21,76000023;159,3200073;43473,625;-3,9886932;0,5285427;4,023559473;866959,3565;0,048164409
184;21,76000023;159,3200073;43473,66667;-4,3579125;1,7156961;4,683483155;1367333,173;0,075962954
185;21,76000023;159,3200073;43473,70833;-4,535824;2,9535036;5,412659501;2110569,146;0,117253841
186;21,76000023;159,3200073;43473,75;-3,9602919;2,8280747;4,866407139;1533884,943;0,08521583
187;21,76000023;159,3200073;43473,79167;-3,1516533;1,8825328;3,67108271;0;0
188;21,76000023;159,3200073;43473,83333;-3,105032;1,6051418;3,495383229;0;0
189;21,76000023;159,3200073;43473,875;-3,2390013;1,9307747;3,770811632;0;0
