"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-06 08:00:00', '1.3417485', '5.151623')",4.544461101368709
"('2019-01-06 09:00:00', '1.2325631', '5.0815005')",3.7827389941893914
"('2019-01-06 10:00:00', '1.1472399', '4.9695463')",3.2049503586245316
"('2019-01-06 11:00:00', '1.0755353', '4.840061')",2.7434449681947743
"('2019-01-06 12:00:00', '1.0104622', '4.7137303')",2.3583103336951656
"('2019-01-06 13:00:00', '0.9747579', '4.5444536')",2.1157837674591513
"('2019-01-06 14:00:00', '0.9675933', '4.371374')",2.0053941782149978
"('2019-01-06 15:00:00', '0.96836305', '4.2475476')",1.9516896264041699
"('2019-01-06 16:00:00', '0.94698787', '4.185588')",1.8392526460572733
"('2019-01-06 17:00:00', '0.939172', '4.1330886')",1.7863274328555443
"('2019-01-06 18:00:00', '0.93390226', '4.1101785')",1.7565463578095182
"('2019-01-06 19:00:00', '1.0262716', '4.1104565')",2.1213423306633556
"('2019-01-06 20:00:00', '1.2191814', '4.2720346')",3.111483471221197
"('2019-01-06 21:00:00', '1.4525325', '4.5654163')",4.719849838883104
"('2019-01-06 22:00:00', '1.5440729', '4.842009')",5.65662350546062
"('2019-01-06 23:00:00', '1.4968224', '5.007297')",5.497180271787562
"('2019-01-07 00:00:00', '1.4114991', '5.066196')",4.9458310739310525
"('2019-01-07 01:00:00', '1.3819528', '5.0117493')",4.689989157753795
"('2019-01-07 02:00:00', '1.3874002', '4.9363403')",4.655911074186084
"('2019-01-07 03:00:00', '1.3952754', '4.9011865')",4.675382890375416
"('2019-01-07 04:00:00', '1.4530654', '4.8956213')",5.064938995387621
"('2019-01-07 05:00:00', '1.5277898', '4.9388447')",5.648701983026516
"('2019-01-07 06:00:00', '1.5688823', '5.0147176')",6.0481602258203715
"('2019-01-07 07:00:00', '1.5877707', '5.0874367')",6.284499057554366
"('2019-01-07 08:00:00', '1.6082578', '5.1368747')",6.51038070291319
"('2019-01-07 09:00:00', '1.6346067', '5.165443')",6.762856977139457
"('2019-01-07 10:00:00', '1.5943432', '5.1950316')",6.470649880117469
"('2019-01-07 11:00:00', '1.5541388', '5.1694317')",6.118126998358332
"('2019-01-07 12:00:00', '1.6027511', '5.1004224')",6.419990592533338
"('2019-01-07 13:00:00', '1.6941731', '5.0989385')",7.171193106239989
"('2019-01-07 14:00:00', '1.7803253', '5.154127')",8.004789627260843
"('2019-01-07 15:00:00', '1.8359245', '5.226846')",8.632675564627009
"('2019-01-07 16:00:00', '1.8052531', '5.277861')",8.428110620791658
"('2019-01-07 17:00:00', '1.716851', '5.2898264')",7.6401645322883835
"('2019-01-07 18:00:00', '1.5981919', '5.260887')",6.5843499353805806
"('2019-01-07 19:00:00', '1.479296', '5.2223015')",5.599744183018226
"('2019-01-07 20:00:00', '1.3524656', '5.1618257')",4.626492589409054
"('2019-01-07 21:00:00', '1.2320302', '5.0850253')",3.7820903999122395
"('2019-01-07 22:00:00', '1.112779', '5.0292797')",3.051544529183596
"('2019-01-07 23:00:00', '1.0108767', '4.948027')",2.4775618997573843
"('2019-01-08 00:00:00', '0.9286324', '4.8241076')",2.0384531305735876
"('2019-01-08 01:00:00', '0.8631449', '4.6670747')",1.7037593404563383
"('2019-01-08 02:00:00', '0.8033416', '4.527201')",1.431615430471971
"('2019-01-08 03:00:00', '0.74146605', '4.429902')",1.1933634704521627
"('2019-01-08 04:00:00', '0.67970884', '4.3653455')",0.9882356996147453
"('2019-01-08 05:00:00', '0.62286615', '4.3120117')",0.8197198835624617
"('2019-01-08 06:00:00', '0.57531965', '4.2320576')",0.6863822834023373
"('2019-01-08 07:00:00', '0.54115474', '4.086712')",0.5864257699057032
"('2019-01-08 08:00:00', '0.51516116', '3.9354296')",0.5117695625740205
"('2019-01-08 09:00:00', '0.50035834', '3.759753')",0.4612301413086491
"('2019-01-08 10:00:00', '0.49822676', '3.5900128')",0.4366627816929899
"('2019-01-08 11:00:00', '0.54014826', '3.368423')",0.4815580719591798
"('2019-01-08 12:00:00', '0.60717523', '3.2414424')",0.5855479713418408
"('2019-01-08 13:00:00', '0.6536559', '3.227715')",0.6757555661349678
"('2019-01-08 14:00:00', '0.6627152', '3.2632399')",0.7022616391671622
"('2019-01-08 15:00:00', '0.65691257', '3.2874484')",0.695136622094887
"('2019-01-08 16:00:00', '0.63506365', '3.3064632')",0.6534227992425606
"('2019-01-08 17:00:00', '0.599537', '3.3153677')",0.5839286215647899
"('2019-01-08 18:00:00', '0.5540036', '3.3092458')",0.49768010511851407
"('2019-01-08 19:00:00', '0.5024307', '3.2955182')",0.40763562413349225
"('2019-01-08 20:00:00', '0.45660126', '3.2729788')",0.3343593586336548
"('2019-01-08 21:00:00', '0.41894305', '3.252109')",0.2796862742135087
"('2019-01-08 22:00:00', '0.40372574', '3.1995177')",0.2555368138863892
"('2019-01-08 23:00:00', '0.39342308', '3.2145438')",0.24380078281164008
"('2019-01-09 00:00:00', '0.39585066', '3.2673209')",0.2508710904743907
"('2019-01-09 01:00:00', '0.40141654', '3.4029274')",0.2686824440593056
"('2019-01-09 02:00:00', '0.4075153', '3.6669989')",0.298397168168765
"('2019-01-09 03:00:00', '0.43552208', '3.9198468')",0.3643221104880174
"('2019-01-09 04:00:00', '0.487095', '4.082723')",0.47464983977245484
"('2019-01-09 05:00:00', '0.5577339', '4.133367')",0.6300197046033658
"('2019-01-09 06:00:00', '0.63524127', '4.159895')",0.8225377890189075
"('2019-01-09 07:00:00', '0.7167158', '4.1713033')",1.049933532296099
"('2019-01-09 08:00:00', '0.8016838', '4.180764')",1.316612421693841
"('2019-01-09 09:00:00', '0.8517171', '4.278342')",1.5207657097002356
"('2019-01-09 10:00:00', '0.8786582', '4.3946557')",1.6624969939521905
"('2019-01-09 11:00:00', '0.89843476', '4.4939027')",1.7774313565246957
"('2019-01-09 12:00:00', '0.92774427', '4.52479')",1.9083194178152647
"('2019-01-09 13:00:00', '0.97120523', '4.497984')",2.078911545503215
"('2019-01-09 14:00:00', '1.0140741', '4.466726')",2.2507371229173416
"('2019-01-09 15:00:00', '1.07968', '4.398366')",2.5123350570846044
"('2019-01-09 16:00:00', '1.161036', '4.354029')",2.875933034758554
"('2019-01-09 17:00:00', '1.20953', '4.3939137')",3.1497848668581465
"('2019-01-09 18:00:00', '1.2024839', '4.4233165')",3.1340262960955965
