"Tempo, CF eolico offshore, produzione EOLICO offshore, consumo elettrico, produzione diesel"
2019-06-12 15:00:00,0.228270503,32.870952432,34.854761201900004,1.9838087699000013
2019-06-12 16:00:00,0.261951664,37.721039616,45.792391462,8.071351845999999
2019-06-12 17:00:00,0.352881229,50.814896976,40.500599128,-10.314297848000002
2019-06-12 18:00:00,0.460460885,66.30636744,73.46688927400001,7.160521834000008
2019-06-12 19:00:00,0.543034326,78.196942944,62.529223030000004,-15.667719913999996
2019-06-12 20:00:00,0.605210912,87.150371328,41.426464875,-45.723906453000005
2019-06-12 21:00:00,0.59895372,86.24933568,44.442635373,-41.806700307
2019-06-12 22:00:00,0.425804333,61.315823951999995,38.64311021,-22.672713741999992
2019-06-12 23:00:00,0.412252595,59.36437368,34.8754519444,-24.4889217356
2019-06-13 00:00:00,0.394131883,56.754991152,27.038878202400003,-29.7161129496
2019-06-13 01:00:00,0.369829773,53.255487312,30.860368382399997,-22.395118929600002
2019-06-13 02:00:00,0.308482489,44.42147841600001,26.6310366798,-17.790441736200005
2019-06-13 03:00:00,0.243605548,35.079198912,25.590958034200003,-9.4882408778
2019-06-13 04:00:00,0.215686769,31.058894736,35.3096696657,4.2507749297
2019-06-13 05:00:00,0.189492108,27.286863552,27.6749656027,0.3881020506999988
2019-06-13 06:00:00,0.168039688,24.197715071999998,39.998263884,15.800548812000006
2019-06-13 07:00:00,0.166313559,23.949152496,32.6509992142,8.701846718199999
2019-06-13 08:00:00,0.171979703,24.765077232000003,38.690608958,13.925531725999996
2019-06-13 09:00:00,0.169006361,24.336915984,26.999439847999998,2.662523863999997
2019-06-13 10:00:00,0.18398338,26.49360672,33.1634099502,6.669803230199999
2019-06-13 11:00:00,0.177604572,25.575058367999997,48.303348004,22.728289636000003
2019-06-13 12:00:00,0.180816642,26.037596448,27.5637033839,1.5261069358999997
2019-06-13 13:00:00,0.192757218,27.757039392000003,32.093680571,4.336641178999997
2019-06-13 14:00:00,0.192267742,27.686554848,35.5120791032,7.825524255200001
2019-06-13 15:00:00,0.174211001,25.086384144,42.341175613,17.254791468999997
2019-06-13 16:00:00,0.16738937,24.10406928,39.355591430000004,15.251522150000003
2019-06-13 17:00:00,0.224513712,32.329974528,42.014441801,9.684467272999996
2019-06-13 18:00:00,0.322223981,46.400253264,37.732357701,-8.667895563000002
2019-06-13 19:00:00,0.416032199,59.908636656,42.444809245,-17.463827410999997
2019-06-13 20:00:00,0.503572093,72.514381392,42.007245020999996,-30.50713637100001
2019-06-13 21:00:00,0.537816709,77.445606096,34.686356549900005,-42.7592495461
2019-06-13 22:00:00,0.491297525,70.7468436,36.547048034999996,-34.19979556500001
2019-06-13 23:00:00,0.458150267,65.973638448,27.0098391951,-38.9637992529
2019-06-14 00:00:00,0.432997107,62.351583407999996,32.66618442,-29.685398987999996
2019-06-14 01:00:00,0.350931174,50.534089056,30.2140255706,-20.3200634854
2019-06-14 02:00:00,0.261146542,37.605102048,25.128924758199997,-12.476177289800003
2019-06-14 03:00:00,0.208839544,30.072894335999997,31.0393882849,0.966493948900002
2019-06-14 04:00:00,0.180025755,25.92370872,29.946737161399998,4.0230284413999975
2019-06-14 05:00:00,0.153192506,22.059720864,42.022358259,19.962637395
2019-06-14 06:00:00,0.111603001,16.070832144,35.040438125899996,18.969605981899996
2019-06-14 07:00:00,0.08100956,11.66537664,43.239333757,31.573957117
2019-06-14 08:00:00,0.085406024,12.298467456,43.435086172999995,31.136618716999998
2019-06-14 09:00:00,0.091542192,13.182075648,36.65320054,23.471124892
2019-06-14 10:00:00,0.14085706,20.283416640000002,46.424988424,26.141571783999996
2019-06-14 11:00:00,0.165464586,23.826900383999998,47.31163172,23.484731336000003
2019-06-14 12:00:00,0.195465469,28.147027536,44.935614803,16.788587267
2019-06-14 13:00:00,0.238924241,34.405090704,37.602095983,3.1970052789999954
2019-06-14 14:00:00,0.250117101,36.016862544,46.348342717,10.331480173000003
2019-06-14 15:00:00,0.215068031,30.969796463999998,40.703188485,9.733392021
2019-06-14 16:00:00,0.176331496,25.391735424,40.111973008,14.720237584
2019-06-14 17:00:00,0.16469004,23.71536576,39.454547155,15.739181395
2019-06-14 18:00:00,0.151412487,21.803398128,68.133715455,46.330317327
2019-06-14 19:00:00,0.122543203,17.646221232000002,48.671463300999996,31.025242068999994
2019-06-14 20:00:00,0.107454473,15.473444112,33.865527807,18.392083695
2019-06-14 21:00:00,0.130042669,18.726144336,49.253682803000004,30.527538467000003
2019-06-14 22:00:00,0.200530307,28.876364208,34.9229147085,6.046550500500004
2019-06-14 23:00:00,0.259362194,37.348155936,29.238142202600002,-8.110013733399995
2019-06-15 00:00:00,0.279135133,40.195459152,30.5304320033,-9.665027148699998
2019-06-15 01:00:00,0.304265702,43.814261088,25.034359069,-18.779902019
2019-06-15 02:00:00,0.247150445,35.58966408,28.920476333400003,-6.669187746599995
2019-06-15 03:00:00,0.201487305,29.014171920000003,28.867508032599996,-0.14666388740000613
2019-06-15 04:00:00,0.201906304,29.074507776,35.4166498004,6.342142024400001
2019-06-15 05:00:00,0.20525329,29.55647376,41.559245466,12.002771706
2019-06-15 06:00:00,0.181011737,26.065690128,34.745082274699996,8.679392146699996
2019-06-15 07:00:00,0.188760566,27.181521504,43.143616583,15.962095078999997
2019-06-15 08:00:00,0.200128467,28.818499248000002,41.15838482,12.339885572
2019-06-15 09:00:00,0.240424174,34.621081056,40.500239289,5.879158232999998
2019-06-15 10:00:00,0.271343062,39.073400928000005,39.451668442999996,0.37826751499999034
2019-06-15 11:00:00,0.30727101,44.24702544,39.706794294,-4.5402311460000035
2019-06-15 12:00:00,0.325086111,46.812399984,44.877680724,-1.9347192600000014
2019-06-15 13:00:00,0.333089098,47.964830111999994,40.488004763,-7.476825348999995
2019-06-15 14:00:00,0.328405925,47.2904532,41.930599314,-5.359853886000003
2019-06-15 15:00:00,0.336809729,48.500600976,43.052217477,-5.448383499000002
2019-06-15 16:00:00,0.342984852,49.389818688,40.072390718,-9.317427969999997
2019-06-15 17:00:00,0.387805796,55.844034623999995,54.153970305,-1.690064318999994
2019-06-15 18:00:00,0.466521065,67.17903336,53.22378649,-13.955246870000003
2019-06-15 19:00:00,0.565050627,81.36729028799999,61.206095027,-20.16119526099999
2019-06-15 20:00:00,0.637033012,91.73275372799999,43.279275886,-48.45347784199999
2019-06-15 21:00:00,0.636132287,91.603049328,41.323910760000004,-50.27913856799999
2019-06-15 22:00:00,0.529093961,76.189530384,46.120204791,-30.069325592999995
2019-06-15 23:00:00,0.539439815,77.67933336,37.297672189000004,-40.381661171
2019-06-16 00:00:00,0.540320681,77.806178064,34.8089177133,-42.997260350699996
2019-06-16 01:00:00,0.515431807,74.222180208,34.6561660578,-39.5660141502
2019-06-16 02:00:00,0.511879084,73.71058809600001,23.662544849299998,-50.04804324670001
2019-06-16 03:00:00,0.499747874,71.96369385599999,30.032234907800003,-41.93145894819999
2019-06-16 04:00:00,0.478121256,68.849460864,40.074549751999996,-28.774911111999998
2019-06-16 05:00:00,0.454388838,65.431992672,34.630545521,-30.801447151000005
2019-06-16 06:00:00,0.418362767,60.244238448000004,43.350524008,-16.893714440000004
2019-06-16 07:00:00,0.395549152,56.959077888,38.360996434,-18.598081454000003
2019-06-16 08:00:00,0.408200264,58.780838016,42.592703074,-16.188134941999998
2019-06-16 09:00:00,0.371749736,53.531961984,37.533726573,-15.998235410999996
2019-06-16 10:00:00,0.272962183,39.306554352000006,39.289021215000005,-0.01753313700000092
2019-06-16 11:00:00,0.26411733,38.03289552,42.042509243000005,4.009613723000008
2019-06-16 12:00:00,0.291100358,41.918451552,37.325739631,-4.592711921000003
